index,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,is_on1,is_on2,is_on3,is_on4,is_on5,is_on6,is_on7,is_on8,is_on9,is_on10,Time,Total_val,AverageLatency1,AverageLinkFailure1,Transparency1,AverageLatency2,AverageLinkFailure2,Transparency2,OnControl1,OnControl2
1,249.98,0.063621,1.0181,0.052542,247.45,2.5494,2.5649,247.5,248.98,1.0181,2.5053,247.48,248.97,2.5166,249.02,0.010978,0.063126,0.052401,0.98466,1.5429,0.4999,0.4999,0.4999,0.5,0.5,0.4999,0.4999,0.5,0.4999,0.4999,52.164,0.20695,0.0054362,0.29364,0.0085921,0.0048653,0.29364,0.01469,2,1
2,118.8,35.553,110.49,113.05,27.111,237.59,105.04,238.29,137.6,124.96,125.7,132.09,11.494,227.87,224.21,135.25,19.381,125.99,118.8,11.633,0.49995,0.49995,0.5,0.49995,0.5,0.49991,0.49999,0.49999,0.4999,0.4999,52.274,0.19978,0.0053894,0.29364,8.5568e-05,0.0047862,0.29364,0.0018051,2,2
3,181.58,243.48,199.72,30.79,63.634,224,44.148,68.419,162.09,87.905,181.58,199.72,219.21,50.276,162.09,63.634,186.37,186.37,44.148,205.85,0.49998,0.49991,0.49994,0.49999,0.49992,0.49991,0.49993,0.49997,0.5,0.49993,37.2,0.20083,0.0053718,0.29364,0.0033504,0.0047867,0.29364,0.0017023,2,2
4,54.259,221.27,117.74,183.52,226.12,126.09,19.831,85.693,106.6,93.444,125.56,159.62,115.96,132.16,44.407,51.53,157.77,111.81,183.44,164.87,0.49998,0.49996,0.49994,0.49993,0.49996,0.49995,0.49996,0.49992,0.49994,0.49995,63.04,0.20087,0.0054115,0.29364,0.0040082,0.0047894,0.29364,0.0011314,3,2
5,205.31,44.687,203.96,46.038,205.31,203.96,46.038,203.96,203.96,44.687,44.687,44.687,44.687,44.687,203.96,44.687,203.96,44.687,203.96,205.31,0.5,0.49994,0.49994,0.49994,0.49994,0.49994,0.49994,0.49994,0.49994,0.49994,33.32,0.20072,0.0054151,0.29364,0.0046794,0.0047948,0.29364,0,1,0
