index,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,is_on1,is_on2,is_on3,is_on4,is_on5,is_on6,Time,Total_val,AverageLatency1,AverageLinkFailure1,Transparency1,AverageLatency2,AverageLinkFailure2,Transparency2,OnControl1,OnControl2
1,42.448,110.66,194.13,152.6,35.229,235.59,234.77,66.531,162.37,37.994,228.92,157.61,0.49999,0.49996,0.49998,0.4999,0.49994,0.49991,198.43,1.9831,0.22667,0.70636,0.0822,0.26147,0.70636,0,3,0
2,97.476,118.82,33.12,193.44,187.1,230.03,32.716,42.011,246.33,199.43,26.52,196.95,0.49994,0.49997,0.49994,0.49995,0.49999,0.49993,201.91,2.5451,0.23009,0.70636,0.23407,0.25055,0.70636,0.41763,1,2
3,151.18,230.18,32.004,111.03,101.67,108.96,80.524,139.13,47.456,150.13,183.5,73.303,0.49994,0.49993,0.49999,0.49999,0.49996,0.49991,214.65,2.4759,0.2325,0.70636,0.34112,0.26728,0.70636,0.22225,1,2
4,162.86,193.21,65.171,226,94.071,49.744,213.01,107.23,113.6,43.242,107.84,155.18,0.49991,0.49992,0.49992,0.49992,0.49995,0.49997,150.56,2.1093,0.22483,0.70636,0,0.26683,0.70636,0.20491,0,2
5,112.87,224.51,242.99,14.003,123.43,38.929,119.2,17.545,9.4515,246.71,7.6043,190.09,0.49999,0.49997,0.4999,0.49992,0.49998,0.4999,194.6,2.4669,0.21667,0.70636,0.36264,0.25574,0.70636,0.21916,2,1
6,151.19,41.341,4.5604,107.66,26.722,227.21,87.345,187.69,232.63,138.23,91.551,223.18,0.49999,0.49994,0.49999,0.4999,0.49991,0.49996,239.35,2.9564,0.23489,0.70636,0.44747,0.24536,0.70636,0.61595,2,1
7,203.14,14.079,38.197,156.92,43.78,41.06,126.84,6.2658,42.421,237.25,142.16,160.3,0.49993,0.49992,0.49992,0.49992,0.49995,0.49992,141.66,1.899,0.22483,0.70636,0,0.26147,0.70636,0,0,0
8,119.56,230.88,116,172.39,152.59,137.62,129.54,166.54,172.6,96.572,173.5,8.5503,0.49992,0.4999,0.49994,0.49999,0.49992,0.49992,214.34,2.3793,0.22483,0.70636,0,0.24857,0.70636,0.49322,0,1
9,74.546,25.767,110.42,115.96,34.488,218.64,155,139.45,125.06,98.905,230.42,88.957,0.49993,0.49997,0.49997,0.49995,0.49993,0.49993,214.41,3.3031,0.23056,0.70636,0.25496,0.26147,0.70636,0,2,0
10,66.113,222.84,195.14,202.35,153.89,110.58,192.48,71.69,152.3,26.47,148.01,183.96,0.49998,0.49996,0.49994,0.49998,0.49997,0.49995,231.22,4.0573,0.2067,0.70636,0.80644,0.26291,0.70636,0.055039,2,2
