index,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,is_on1,is_on2,is_on3,is_on4,is_on5,is_on6,is_on7,is_on8,is_on9,is_on10,Time,Total_val,AverageLatency1,AverageLinkFailure1,Transparency1,AverageLatency2,AverageLinkFailure2,Transparency2,OnControl1,OnControl2
1,249.19,163.78,7.13,165.28,242.93,70.764,99.146,31.076,232.69,195.84,217.8,34.409,85.794,198.38,187.58,204.99,181.65,183.27,76.268,163.5,0.49998,0.49996,0.49999,0.49998,0.49998,0.49991,0.49991,0.49993,0.49991,0.49997,55.808,0.20541,0.0049545,0.29364,0.0085646,0.0064562,0.29364,0.0089957,5,1
2,83.928,248.46,11.542,152.76,161.85,214.33,87.52,141.03,119.6,126.18,1.5388,155.45,112.28,166.98,4.2229,97.864,10.631,249.09,237.83,123.19,0.5,0.49993,0.49994,0.49996,0.49993,0.49999,0.49994,0.49996,0.49999,0.49996,49.375,0.20117,0.0050083,0.29364,0.0021923,0.0064982,0.29364,0.0025524,2,4
3,54.818,231.17,249.9,43.961,44.135,239.32,205.83,18.722,249.77,29.343,10.827,206.01,239.15,231.09,195.23,239.29,176.56,54.784,73.285,239.12,0.49991,0.49999,0.4999,0.4999,0.49993,0.49999,0.4999,0.49992,0.49999,0.49991,63.39,0.20215,0.0049819,0.29364,0.003081,0.0064846,0.29364,0.004636,1,2
4,190.91,66.775,241.5,183.68,1.2676,241.92,8.9008,7.6989,241.91,189.54,183.31,247.42,1.7117,183.75,241.63,6.6967,190.3,7.411,1.4339,241.75,0.49993,0.49998,0.49997,0.5,0.5,0.4999,0.49997,0.49993,0.4999,0.5,89.386,0.20227,0.005023,0.29364,0.0051493,0.0065332,0.29364,0.0028209,4,2
5,58.168,124.12,61.831,241.69,183.98,125.87,217.83,57.767,9.0156,56.382,55.707,5.241,173.94,180.14,191.36,175.71,5.9439,125.88,114.44,73.462,0.4999,0.49997,0.4999,0.49998,0.49992,0.49995,0.49993,0.49993,0.49994,0.49992,102.66,0.20063,0.0049816,0.29364,0.0031332,0.0065148,0.29364,0,2,0
