index,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24,is_on1,is_on2,is_on3,is_on4,is_on5,is_on6,is_on7,is_on8,is_on9,is_on10,is_on11,is_on12,is_on13,is_on14,is_on15,is_on16,is_on17,is_on18,is_on19,is_on20,is_on21,is_on22,is_on23,is_on24,Time,Total_val,AverageLatency1,AverageLinkFailure1,Transparency1,AverageLatency2,AverageLinkFailure2,Transparency2,OnControl1,OnControl2
1,216.34,191.45,58.551,218.73,6.3856,58.551,6.3856,191.45,31.272,243.61,33.664,6.3856,218.73,33.664,58.551,216.34,31.272,33.664,218.73,191.45,243.61,243.61,243.61,31.272,191.45,6.3856,243.61,33.664,216.34,33.664,31.272,33.664,33.664,243.61,191.45,218.73,6.3856,243.61,243.61,243.61,58.551,218.73,58.551,6.3856,191.45,218.73,31.272,218.73,0.49993,0.49999,0.49993,0.49999,0.49999,0.49991,0.49999,0.49999,0.49998,0.5,0.49992,0.49992,0.49993,0.49992,0.49993,0.49992,0.49998,0.49998,0.49992,0.49991,0.49999,0.49999,0.49991,0.49992,58.905,2.0032,0.23001,0.70636,0.086442,0.23395,0.70636,0.040073,7,4
2,213.12,73.464,188.49,73.464,192.4,184.58,44.924,69.551,217.81,78.155,78.155,213.91,204.29,69.551,29.059,78.155,56.814,184.58,69.551,48.768,45.709,202.02,213.12,176.54,24.141,73.464,230.56,175.75,20.228,184.58,225.86,193.19,201.23,242.51,77.37,20.228,175.75,176.54,73.464,221.73,204.29,20.228,70.337,29.059,74.249,201.23,188.49,60.72,0.49998,0.49993,0.49992,0.49998,0.49993,0.49991,0.49993,0.49992,0.49997,0.49991,0.49991,0.5,0.49998,0.49992,0.49993,0.49998,0.49998,0.49991,0.49991,0.49993,0.49993,0.49998,0.49991,0.49993,56.215,1.9686,0.22817,0.70636,0.0056114,0.23279,0.70636,0.089353,4,4
3,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,41.204,2.0299,0.23102,0.70636,0.13059,0.23536,0.70636,0.020182,12,12
4,120.14,120.14,120.14,120.14,129.86,129.86,129.86,129.86,129.86,120.14,129.86,129.86,120.14,129.86,129.86,129.86,120.14,120.14,120.14,129.86,129.86,129.86,129.86,120.14,120.14,129.86,120.14,120.14,129.86,129.86,129.86,129.86,120.14,129.86,120.14,129.86,120.14,129.86,120.14,120.14,120.14,120.14,129.86,129.86,120.14,129.86,120.14,120.14,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,50.357,2.0177,0.23047,0.70636,0.10657,0.23565,0.70636,0.03233,12,12
5,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,55.83,2.0299,0.23102,0.70636,0.13059,0.23536,0.70636,0.020182,12,12
6,25.858,29.227,219.34,208.22,203.95,231.02,194.6,15.612,55.397,207.32,15.612,52.931,199.4,199.4,20.409,25.858,208.22,52.931,197.07,194.6,192.27,42.685,31.558,26.762,225.57,229.59,46.578,231.02,225.57,19.884,198.5,46.053,229.59,204.85,197.07,20.409,42.685,45.15,52.931,42.685,25.858,194.6,20.409,208.22,16.515,197.97,55.397,30.13,0.49999,0.49991,0.49998,0.5,0.49998,0.49991,0.49999,0.49991,0.49991,0.49998,0.49992,0.49998,0.49998,0.5,0.49992,0.49998,0.49992,0.49999,0.49991,0.49999,0.49993,0.49993,0.49991,0.49993,73.539,1.9284,0.22806,0.70636,0.00075681,0.23364,0.70636,0.053269,7,5
7,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,45.943,2.0299,0.23102,0.70636,0.13059,0.23536,0.70636,0.020182,12,12
8,204.63,139.6,76.589,88.804,23.771,33.03,66.841,1.8083,110.4,161.56,204.63,98.062,216.97,226.59,167.16,54.627,102.13,73.581,82.84,51.619,76.589,108.38,111.39,23.771,148.24,133.35,54.992,138.61,73.581,166.79,76.589,188.76,129.98,110.4,54.992,88.438,80.164,119.66,23.771,198.38,169.84,119.66,126.28,138.61,183.16,111.39,130.34,248.19,0.49997,0.49996,0.49995,0.49993,0.49992,0.49997,0.49998,0.49995,0.49993,0.49991,0.49997,0.49991,0.49995,0.49994,0.4999,0.49999,0.49994,0.49994,0.49995,0.49998,0.49994,0.49994,0.49995,0.49994,71.77,1.9715,0.22994,0.70636,0.08351,0.23464,0.70636,0.010656,6,5
9,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,46.715,2.0299,0.23102,0.70636,0.13059,0.23536,0.70636,0.020182,12,12
10,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,45.486,2.0299,0.23102,0.70636,0.13059,0.23536,0.70636,0.020182,12,12
