index,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,is_on1,is_on2,is_on3,is_on4,is_on5,is_on6,Time,Total_val,AverageLatency1,AverageLinkFailure1,Transparency1,AverageLatency2,AverageLinkFailure2,Transparency2,OnControl1,OnControl2
1,135.47,213.6,196.68,214.89,117.32,230.43,35.082,132.65,18.281,117.35,249.98,35.11,0.49994,0.49995,0.49995,0.49994,0.49991,0.49992,8.2287,2867.3,1666.7,1000,0,0.62853,200,0,0,0
2,247.07,1.6302,248.69,0.0054152,0.0026581,2.93,2.9195,2.9169,1.6302,248.36,1.2892,249.99,0.4999,0.5,0.4999,0.4999,0.4999,0.4999,5.7865,2867.3,1666.7,1000,0,0.62853,200,0,1,0
3,25.363,24.604,24.604,25.363,224.64,224.64,24.604,24.604,224.64,24.604,225.4,24.604,0.49992,0.49992,0.49992,0.49992,0.49992,0.49992,4.5855,2867.3,1666.7,1000,0,0.62853,200,0,0,0
4,45.555,64.717,240.96,78.266,240.96,9.038,240.96,101.23,185.28,148.77,240.96,240.96,0.49999,0.5,0.49999,0.49994,0.49994,0.49994,5.0027,2867.3,1666.7,1000,0,0.62853,200,0,3,0
5,200.46,94.019,200.46,245.51,4.4914,200.46,245.51,155.98,200.46,49.544,200.46,94.019,0.49998,0.49996,0.49998,0.49995,0.49994,0.49992,5.0199,2867.3,1666.7,1000,0,0.62853,200,0,3,0
6,46.499,183.64,186.59,40.639,29.084,221.21,54.658,216.73,51.723,205.57,186.81,49.958,0.49999,0.49998,0.49992,0.49993,0.49999,0.49991,8.4365,2867.4,1666.7,1000,0,0.63527,200,0.1073,2,1
7,203.65,203.65,203.65,203.65,203.65,203.65,203.65,203.65,203.65,46.351,46.351,203.65,0.5,0.49994,0.49994,0.49994,0.5,0.5,4.3236,2867.6,1666.7,1000,0,0.64516,200,0.26467,1,2
8,224.07,222.15,14.156,228.29,20.133,240.06,227.57,22.425,238.14,240.06,238.14,224.07,0.49991,0.5,0.49992,0.49991,0.49991,0.49991,5.5493,2867.3,1666.7,1000,0,0.62853,200,0,1,0
9,249.33,249.86,249.9,0.11957,0.64056,249.91,0.15875,249.33,249.2,249.98,249.34,249.83,0.5,0.4999,0.4999,0.4999,0.4999,0.4999,10.601,2867.3,1666.7,1000,0,0.62853,200,0,1,0
10,248.13,234.89,233.96,1.8703,221.99,221.06,237.05,237.05,233.96,221.06,234.85,15.145,0.49999,0.49991,0.49991,0.4999,0.4999,0.49991,5.4666,2867.3,1666.7,1000,0,0.62853,200,0,1,0
