index,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24,x25,y25,x26,y26,x27,y27,x28,y28,x29,y29,x30,y30,x31,y31,x32,y32,x33,y33,x34,y34,x35,y35,x36,y36,x37,y37,x38,y38,x39,y39,x40,y40,is_on1,is_on2,is_on3,is_on4,is_on5,is_on6,is_on7,is_on8,is_on9,is_on10,is_on11,is_on12,is_on13,is_on14,is_on15,is_on16,is_on17,is_on18,is_on19,is_on20,is_on21,is_on22,is_on23,is_on24,is_on25,is_on26,is_on27,is_on28,is_on29,is_on30,is_on31,is_on32,is_on33,is_on34,is_on35,is_on36,is_on37,is_on38,is_on39,is_on40,Time,Total_val,AverageLatency1,AverageLinkFailure1,Transparency1,AverageLatency2,AverageLinkFailure2,Transparency2,OnControl1,OnControl2
1,193.62,207.56,207.56,56.383,56.383,42.442,193.62,207.56,56.383,56.383,42.442,193.62,193.62,193.62,56.383,193.62,56.383,42.442,56.383,193.62,193.62,193.62,42.442,207.56,193.62,56.383,56.383,193.62,207.56,42.442,56.383,207.56,207.56,193.62,193.62,207.56,193.62,193.62,207.56,207.56,193.62,42.442,56.383,56.383,42.442,207.56,193.62,207.56,207.56,207.56,56.383,56.383,193.62,56.383,42.442,193.62,56.383,207.56,42.442,193.62,193.62,56.383,207.56,56.383,193.62,193.62,207.56,56.383,193.62,207.56,42.442,42.442,207.56,207.56,193.62,56.383,56.383,193.62,193.62,207.56,0.49993,0.5,0.5,0.49993,0.5,0.49993,0.49994,0.5,0.49993,0.5,0.49993,0.49999,0.49994,0.49999,0.49994,0.49999,0.49994,0.49993,0.49994,0.49999,0.5,0.49999,0.49993,0.49994,0.49994,0.49993,0.5,0.49999,0.49993,0.49993,0.49999,0.49993,0.49999,0.49999,0.5,0.49999,0.5,0.49993,0.49993,0.49993,54.86,0.22922,0.0064332,0.29364,0.075952,0.005317,0.29364,0.012685,9,10
2,187.86,209.34,234.7,168.89,51.949,22.181,163.51,49.486,232.09,233.38,51.945,189.14,64.589,216.95,237.09,186.37,30.592,73.902,174.94,76.064,9.0097,39.465,48.311,175.03,26.581,89.088,197.8,50.903,23.984,184.03,52.168,16.466,10.311,178.83,2.6185,16.539,209.22,58.49,163.55,192.45,247.26,70.114,68.589,38.431,25.466,188.88,61.242,211.81,89.085,87.642,188.66,25.669,78.63,32.872,61.245,181.43,68.454,17.584,224.4,67.193,188.9,234.59,2.1422,223.07,246.08,79.998,72.458,207.9,29.367,25.606,26.769,58.592,168.75,223.41,188.75,73.878,199.33,20.032,216.95,240.77,0.49991,0.49998,0.49991,0.49997,0.49993,0.49998,0.49993,0.49993,0.49997,0.49999,0.49991,0.49997,0.49993,0.49991,0.49993,0.49998,0.49998,0.49998,0.49991,0.49999,0.49999,0.49991,0.49991,0.4999,0.49999,0.49993,0.49999,0.49998,0.49999,0.49991,0.49998,0.49992,0.49999,0.49991,0.49993,0.49994,0.49993,0.49991,0.49991,0.49999,133.42,0.20375,0.0069121,0.29364,0.0071631,0.0052747,0.29364,0.0046197,10,8
3,10.388,1.3926,10.388,179.55,1.3926,10.388,61.455,1.3926,1.3926,248.61,239.61,188.55,239.61,61.455,10.388,239.61,179.55,239.61,248.61,248.61,179.55,1.3926,179.55,188.55,70.45,188.55,61.455,239.61,10.388,70.45,10.388,239.61,70.45,10.388,1.3926,239.61,70.45,61.455,188.55,188.55,179.55,1.3926,239.61,179.55,248.61,188.55,1.3926,248.61,179.55,10.388,179.55,1.3926,188.55,239.61,10.388,212.57,239.61,61.455,70.45,1.3926,239.61,1.3926,10.388,1.3926,61.455,70.45,248.61,239.61,179.55,70.45,61.455,248.61,10.388,10.388,248.61,10.388,179.55,188.55,70.45,188.55,0.49998,0.5,0.4999,0.49997,0.49993,0.49997,0.4999,0.49993,0.5,0.4999,0.49993,0.4999,0.49998,0.49998,0.49993,0.5,0.5,0.49993,0.5,0.4999,0.4999,0.5,0.49997,0.49993,0.49993,0.5,0.4999,0.4999,0.4999,0.49997,0.4999,0.49997,0.49997,0.49997,0.4999,0.4999,0.4999,0.5,0.5,0.49997,61.473,0.21223,0.006804,0.29364,0.022682,0.0053271,0.29364,0.014612,10,10
4,164.02,221.5,13.129,17.223,223.27,0.00033799,97.261,15.375,112.71,150.34,232.85,101.43,15.375,152.74,139.14,236.95,84.207,86.055,139.14,238.72,0.00039159,238.64,26.731,11.357,28.428,163.95,249.92,101.43,234.62,223.34,154.44,148.65,99.581,148.57,137.36,236.95,139.06,11.357,112.63,28.428,26.656,232.85,148.57,101.35,234.63,234.55,1.8481,13.129,236.95,250,99.657,234.63,163.95,221.5,101.35,13.053,248.23,26.656,223.27,101.35,112.71,232.78,236.87,95.488,232.78,13.129,99.581,236.95,163.95,110.94,101.43,148.65,84.282,112.64,223.34,17.147,112.71,101.35,99.582,13.054,0.49996,0.49997,0.4999,0.49996,0.49995,0.49996,0.49996,0.49991,0.49996,0.49999,0.49991,0.49999,0.5,0.49994,0.49991,0.49994,0.5,0.49995,0.49991,0.49994,0.5,0.5,0.49999,0.5,0.49996,0.49996,0.4999,0.4999,0.49994,0.49993,0.49991,0.49994,0.49995,0.49995,0.49999,0.49996,0.49999,0.49996,0.49996,0.49995,109.9,0.20175,0.006932,0.29364,0.004303,0.0052582,0.29364,0.001489,10,12
5,107.27,127.63,148.48,102.37,227.5,30.671,211.59,195.18,240.33,210.5,7.7782,15.144,134.75,126.37,112.39,126.75,48.696,141.68,239.64,19.318,115.03,136.32,137.6,112.69,218.62,204.05,11.624,122.26,245.41,212.72,242.44,32.041,53.313,7.5913,141.06,100.61,23.676,130.27,20.366,103,200.48,137.97,233.89,139.4,139.12,210.21,222.34,150.15,11.194,133.73,127.43,126.33,216.3,229.77,11.751,118.73,135.57,128.78,35.462,117.44,128.9,125.58,229.09,146.44,210.59,8.1962,213.85,141.96,31.579,135.02,110.22,21.073,147.94,229.43,126.96,44.528,227.32,120.17,142.93,142.5,0.49992,0.49991,0.49999,0.49995,0.4999,0.49999,0.49999,0.49991,0.49999,0.49995,0.49994,0.49999,0.49992,0.49999,0.49991,0.49991,0.49991,0.49995,0.49995,0.49994,0.49994,0.49998,0.49999,0.49999,0.49998,0.49996,0.49994,0.49995,0.49991,0.49991,0.49995,0.49992,0.49995,0.49995,0.49995,0.49995,0.49994,0.49991,0.49995,0.49994,92.733,0.21483,0.00708,0.29364,0.016963,0.0051031,0.29364,0.028058,9,9
