index,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24,is_on1,is_on2,is_on3,is_on4,is_on5,is_on6,is_on7,is_on8,is_on9,is_on10,is_on11,is_on12,is_on13,is_on14,is_on15,is_on16,is_on17,is_on18,is_on19,is_on20,is_on21,is_on22,is_on23,is_on24,Time,Total_val,AverageLatency1,AverageLinkFailure1,Transparency1,AverageLatency2,AverageLinkFailure2,Transparency2,OnControl1,OnControl2
1,29.577,29.577,29.577,137.15,112.85,29.577,220.42,220.42,29.577,137.15,220.42,112.85,112.85,137.15,29.577,137.15,137.15,137.15,112.85,112.85,29.577,220.42,112.85,220.42,137.15,137.15,220.42,29.577,29.577,112.85,29.577,137.15,112.85,220.42,29.577,29.577,137.15,112.85,112.85,29.577,220.42,220.42,220.42,220.42,137.15,29.577,137.15,112.85,0.49992,0.49997,0.5,0.49992,0.49992,0.49992,0.49992,0.49992,0.49996,0.5,0.49992,0.49997,0.49996,0.5,0.5,0.5,0.5,0.49992,0.5,0.5,0.49997,0.49992,0.49992,0.49992,39.539,0.20279,0.0063809,0.29364,0.0066359,0.0057144,0.29364,0.0023567,5,8
2,53.674,32.292,110.81,228.1,108.73,114.47,208.06,17.228,217.71,53.674,216.37,21.902,145.94,43.283,218.45,44.024,145.2,202.04,43.283,94.409,206.72,217.71,202.04,228.1,115.49,32.292,191.65,216.37,212.73,145.94,121.2,26.878,216.37,145.94,38.307,232.77,223.12,41.943,17.228,114.47,232.77,121.2,94.409,140.53,125.88,121.2,217.71,216.37,0.49996,0.49993,0.49994,0.49995,0.5,0.49995,0.49995,0.49996,0.49999,0.49992,0.49993,0.49992,0.49999,0.49999,0.49995,0.49996,0.49999,0.49997,0.49996,0.49995,0.49995,0.49996,0.49992,0.49992,70.261,0.20447,0.0063468,0.29364,0.01194,0.00574,0.29364,0.0021121,7,8
3,41.022,155.71,78.142,149.22,52.002,33.418,34.659,27.649,46.394,210.44,189.53,73.48,88.187,100.78,189.17,87.747,214.94,41.638,0.92587,78.959,227.57,208.92,72.519,79.698,20.22,33.83,202.9,176.08,176.33,189.87,208.98,201.09,183.58,49.209,208.56,61.603,210.87,169.13,194.48,176.93,161.34,182.26,106.83,39.916,45.533,14.004,231.03,235.79,0.49998,0.49999,0.49994,0.5,0.49992,0.49999,0.4999,0.49991,0.49997,0.49998,0.49997,0.49994,0.49993,0.49991,0.49993,0.49992,0.49999,0.49996,0.49997,0.49991,0.49992,0.49992,0.49997,0.49992,84.321,0.20404,0.0064509,0.29364,0.0042634,0.0057758,0.29364,0.0083542,7,4
4,4.5667,156.03,232.39,4.6847,1.8822,99.444,156.03,17.59,235.2,86.524,150.54,163.46,153.24,81.052,245.32,245.33,17.605,229.71,86.539,86.539,10.157,229.61,150.44,4.6847,245.33,147.75,150.44,96.657,89.327,226.92,245.33,163.36,20.29,166.15,7.4725,7.3692,93.972,1.8822,166.26,242.53,96.76,235.2,20.275,166.16,4.67,147.75,96.657,150.56,0.49997,0.49996,0.49996,0.4999,0.49996,0.49994,0.5,0.49994,0.49996,0.49996,0.49999,0.49991,0.4999,0.49991,0.49993,0.5,0.4999,0.49996,0.49994,0.49994,0.49999,0.5,0.49997,0.49994,64.729,0.21079,0.0064796,0.29364,0.0087384,0.0058655,0.29364,0.024021,8,5
5,16.515,120.08,120.41,18.943,142.2,218.2,126.94,121.65,235.04,131.24,34.262,32.368,14.077,131.27,8.7593,238.24,22.151,241.5,22.055,11.706,142.24,11.597,241.83,231.3,131.07,3.1084,11.656,13.158,3.5777,111.14,121.78,119.1,237.99,126.75,13.213,238.29,228.71,236.65,120.75,110.27,8.1338,129.86,131.62,24.103,228.46,118.16,22.071,14.538,0.49999,0.49995,0.49999,0.49991,0.49995,0.49991,0.49999,0.49996,0.49991,0.49999,0.5,0.49999,0.49991,0.49995,0.4999,0.4999,0.49999,0.49995,0.49999,0.49999,0.49999,0.49991,0.49995,0.49995,72.838,0.20797,0.0063582,0.29364,0.01016,0.005645,0.29364,0.014469,9,6
