index,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,is_on1,is_on2,is_on3,is_on4,is_on5,is_on6,Time,Total_val,AverageLatency1,AverageLinkFailure1,Transparency1,AverageLatency2,AverageLinkFailure2,Transparency2,OnControl1,OnControl2
1,159.09,159.09,117.73,132.27,117.73,132.27,117.73,117.73,159.09,117.73,159.09,117.73,0.49997,0.5,0.5,0.5,0.5,0.49999,9.649,16.677,16.667,0.001,0,0.0065732,0.003,6.1834e-05,3,3
2,220.93,89.142,49.953,116.2,157.75,63.193,117.41,116.43,174.33,186.24,175.3,205.32,0.49994,0.49996,0.49996,0.49993,0.49995,0.49991,22.435,16.677,16.667,0.001,0,0.0065773,0.003,0,2,0
3,82.53,109.67,109.13,27.541,82.381,2.0332,27.541,140.33,222.7,224.33,222.68,25.435,0.49997,0.4999,0.49996,0.49994,0.49991,0.49991,16.053,16.677,16.667,0.001,0,0.0065773,0.003,0,2,0
4,222.63,24.863,27.062,25.168,222.94,25.168,0.053703,27.062,2.5573,27.062,0.053703,225.14,0.49991,0.49991,0.4999,0.4999,0.4999,0.49991,8.5634,16.677,16.667,0.001,0,0.0065773,0.003,0,0,0
5,51.999,3.6314,50.562,52.474,198,50.454,54.734,201.01,198.1,3.1056,195.72,6.6401,0.5,0.49992,0.4999,0.4999,0.49992,0.4999,9.4769,16.677,16.667,0.001,0,0.0065773,0.003,0,1,0
6,248.07,234.13,0.24067,15.76,1.8431,248.27,0.24067,234.22,0.24067,15.871,1.9318,15.76,0.4999,0.49999,0.5,0.4999,0.4999,0.49991,16.869,16.677,16.667,0.001,0,0.0065773,0.003,0,2,0
7,210.78,248.89,40.009,238.8,39.657,1.5385,49.229,48.95,40.302,200.41,238.88,201.49,0.49998,0.49992,0.49998,0.49992,0.49992,0.49992,11.222,16.677,16.667,0.001,0,0.0065773,0.003,0,2,0
8,234.46,81.625,3.0435,15.538,69.13,69.706,15.538,81.05,3.6189,43.358,180.87,168.95,0.49997,0.49997,0.49993,0.49992,0.4999,0.49992,11.228,16.677,16.667,0.001,0,0.0065773,0.003,0,2,0
9,15.223,53.486,199.62,229.82,34.686,50.381,13.009,41.105,243.69,37.76,5.2729,44.736,0.4999,0.4999,0.49992,0.49992,0.49992,0.49991,16.414,16.677,16.667,0.001,0,0.0065773,0.003,0,0,0
10,39.587,42.471,209.28,1.688,0.69098,249.31,0.29646,209.54,0.89138,208.6,208.18,209.97,0.49998,0.49998,0.49998,0.4999,0.4999,0.49992,18.774,16.677,16.667,0.001,0,0.0065773,0.003,0,3,0
