index,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,is_on1,is_on2,is_on3,is_on4,is_on5,is_on6,Time,Total_val,AverageLatency1,AverageLinkFailure1,Transparency1,AverageLatency2,AverageLinkFailure2,Transparency2,OnControl1,OnControl2
1,4.4295,25.274,4.4295,25.274,25.274,245.57,224.73,25.274,25.274,4.4295,25.274,224.73,0.49991,0.49991,0.5,0.4999,0.49991,0.4999,28.104,0.37716,0.0026854,0.56002,0.0046614,0.0040961,0.56002,0,1,0
2,0.061407,147.04,88.225,249.94,244.93,147.69,102.31,216.11,147.69,137.97,166.79,244.93,0.49996,0.49994,0.49999,0.49994,0.49994,0.49991,37.809,0.37863,0.0026971,0.56002,0.0090419,0.0040961,0.56002,0,2,0
3,155.77,141.56,185.65,107.97,60.787,197.56,94.521,21.487,103.39,151.86,189.21,167.1,0.49993,0.49996,0.49999,0.49991,0.49991,0.49991,51.776,0.3765,0.0026801,0.56002,0.0026884,0.0040961,0.56002,0,2,0
4,238.86,249.62,10.942,238.77,249.79,249.65,239.22,0.26847,239.22,239.18,0.47187,249.68,0.4999,0.5,0.4999,0.4999,0.4999,0.4999,53.179,0.38148,0.0027199,0.56002,0.017584,0.0040961,0.56002,0,1,0
5,89.807,102.16,89.807,63.5,186.5,244.53,5.4696,102.16,102.16,244.53,186.5,244.53,0.49994,0.49998,0.49996,0.49994,0.49994,0.49994,26.421,0.38017,0.0026362,0.56002,0.013724,0.0040961,0.56002,0,2,0
