index,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,is_on1,is_on2,is_on3,is_on4,is_on5,is_on6,is_on7,is_on8,is_on9,is_on10,Time,Total_val,AverageLatency1,AverageLinkFailure1,Transparency1,AverageLatency2,AverageLinkFailure2,Transparency2,OnControl1,OnControl2
1,168.77,160.44,249.91,241.67,158.03,8.0405,18.775,99.915,230.94,241.68,92.34,231.03,239.17,241.68,0.095616,231.22,89.176,92.056,160.73,100.2,0.4999,0.49994,0.4999,0.49994,0.4999,0.49997,0.49991,0.49996,0.49996,0.5,62.795,0.20098,0.0055069,0.29364,0,0.0056345,0.29364,0.0045212,0,4
2,234.53,52.745,61.327,75.854,174.15,174.15,70.699,249.06,142.02,38.219,52.745,211.78,211.78,24.051,211.42,142.02,165.13,142.02,156.55,188.67,0.49997,0.49999,0.49999,0.49992,0.4999,0.49997,0.49998,0.49992,0.49991,0.49993,49.346,0.20023,0.0055085,0.29364,0.00028371,0.0056203,0.29364,0.0019921,3,2
3,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,32.542,0.20434,0.0055637,0.29364,0.010316,0.0056329,0.29364,0.0042306,5,5
4,47.141,244.22,27.909,5.7768,47.141,25.009,5.7768,222.09,5.7768,222.09,222.09,224.99,25.009,5.7768,5.7768,202.86,47.141,224.99,5.7768,202.86,0.49999,0.49992,0.4999,0.49999,0.49999,0.49991,0.49992,0.4999,0.4999,0.4999,42.786,0.20214,0.005551,0.29364,0.0079975,0.0056091,0.29364,0,3,0
5,30.382,33.608,244.99,6.0381,19.929,221.1,236.18,2.1873,15.617,234.39,31.092,242.43,5.0607,214.97,12.056,245.68,237.2,29.685,243.7,213.53,0.49991,0.5,0.49991,0.49991,0.49991,0.5,0.49999,0.49999,0.4999,0.49991,71.571,0.20112,0.0055203,0.29364,0.0024265,0.0056233,0.29364,0.0025309,1,3
