index,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,is_on1,is_on2,is_on3,is_on4,is_on5,is_on6,Time,Total_val,AverageLatency1,AverageLinkFailure1,Transparency1,AverageLatency2,AverageLinkFailure2,Transparency2,OnControl1,OnControl2
1,234.47,231.42,246.27,227.27,4.9515,7.4018,8.3118,223.47,31.959,238.93,17.537,21.696,0.49991,0.5,0.49999,0.49991,0.49991,0.49991,61.752,1.9034,0.24127,0.70636,0.02864,0.22079,0.70636,0,2,0
2,134.73,218.24,162.72,134.73,249.57,0.43192,215.97,50.148,98.349,2.7003,120.87,94.595,0.4999,0.49994,0.49998,0.5,0.49992,0.49991,42.162,1.9127,0.23983,0.70636,0.031144,0.22097,0.70636,0.0079888,1,1
3,227.4,182.25,22.583,44.755,44.686,89.826,45.62,200.25,95.204,222.45,159.71,50.129,0.49993,0.49991,0.49993,0.49995,0.49997,0.49997,52.252,1.9142,0.24058,0.70636,0,0.22166,0.70636,0.039212,0,2
4,125,125,125,125,125,125,125,125,125,125,125,125,0.5,0.5,0.5,0.5,0.5,0.5,26.928,2.1979,0.2389,0.70636,0.069803,0.22631,0.70636,0.25012,3,3
5,247.32,247.32,247.32,247.32,2.6841,2.6841,2.6841,2.6841,247.32,247.32,2.6841,247.32,0.5,0.4999,0.5,0.4999,0.4999,0.4999,24.767,1.9261,0.2393,0.70636,0.053272,0.22079,0.70636,0,2,0
6,35.413,214.59,214.59,35.413,35.413,214.59,35.413,214.59,35.413,35.413,35.413,35.413,0.5,0.49993,0.49993,0.49993,0.49993,0.49993,25.035,1.9045,0.23983,0.70636,0.031144,0.22079,0.70636,0,1,0
7,6.3544e-06,249.95,0.039136,236.85,249.96,0.010231,13.215,13.149,13.214,13.205,236.83,13.22,0.49991,0.4999,0.49991,0.49991,0.49991,0.4999,64.888,1.8741,0.24058,0.70636,0,0.22079,0.70636,0,0,0
8,160.9,89.102,160.9,89.102,160.9,89.102,160.9,160.9,160.9,89.102,160.9,89.102,0.49997,0.49997,0.49997,0.49997,0.49997,0.5,26.403,2.031,0.2389,0.70636,0.069803,0.21879,0.70636,0.090771,3,3
9,174.21,72.823,236.91,241.28,176.99,225.31,233.77,249.84,12.444,230.55,184.53,76.373,0.5,0.49991,0.49991,0.49993,0.49992,0.4999,65.047,1.8849,0.24032,0.70636,0.011048,0.22079,0.70636,0,1,0
10,188.79,215.79,206.88,188.79,0.027833,234.01,199.95,4.7086,234.01,184.11,61.335,43.123,0.49992,0.49991,0.49991,0.49992,0.49992,0.49991,34.921,1.8741,0.24058,0.70636,0,0.22079,0.70636,0,0,0
