index,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,is_on1,is_on2,is_on3,is_on4,is_on5,is_on6,Time,Total_val,AverageLatency1,AverageLinkFailure1,Transparency1,AverageLatency2,AverageLinkFailure2,Transparency2,OnControl1,OnControl2
1,198.69,213.44,35.363,16.516,220.33,216.69,215.55,23.214,222.04,231.47,49.13,41.891,0.49991,0.5,0.49991,0.49992,0.49991,0.49992,10.198,16.674,16.667,1e-05,0,0.007149,5e-05,0,1,0
2,5.523,165.16,32.231,144.4,104.93,77.092,148.61,249.82,4.3906,4.8552,140.86,103.8,0.4999,0.4999,0.4999,0.49994,0.49991,0.4999,5.4886,16.674,16.667,1e-05,0,0.007149,5e-05,0,0,0
3,36.939,5.6131,9.4929,9.4929,36.939,216.94,244.39,5.6131,213.06,36.939,213.06,5.6131,0.5,0.49991,0.49999,0.49992,0.49992,0.4999,6.3834,16.674,16.667,1e-05,0,0.007149,5e-05,0,2,0
4,2.9305,234.11,180.27,136.53,136.53,247.07,245.2,15.888,175.55,69.733,123.57,188.5,0.49999,0.49992,0.49997,0.49993,0.49992,0.49993,5.9989,16.674,16.667,1e-05,0,0.007149,5e-05,0,2,0
5,242.33,101.58,31.88,239.66,24.533,74.84,17.69,222.8,84.352,225.33,84.72,27.339,0.5,0.49999,0.49999,0.4999,0.49993,0.4999,6.5183,16.674,16.667,1e-05,0,0.007149,5e-05,0,3,0
6,39.885,188.81,249.61,40.006,0.39006,40.006,188.69,188.81,249.61,0.39006,209.99,188.69,0.49992,0.49999,0.5,0.49992,0.49992,0.4999,5.1965,16.674,16.667,1e-05,0,0.007149,5e-05,0,2,0
7,7.4142,242.59,242.59,242.59,7.4142,242.59,7.4142,242.59,7.4142,242.59,7.4142,7.4142,0.5,0.5,0.49991,0.5,0.49991,0.49991,4.2435,16.674,16.667,1e-05,0,0.0071078,5e-05,5.7613e-05,2,1
8,188.9,61.104,61.104,61.104,61.104,188.9,61.104,188.9,188.9,188.9,61.104,188.9,0.5,0.49995,0.49995,0.49995,0.49995,0.49995,4.3043,16.674,16.667,1e-05,0,0.007149,5e-05,0,1,0
9,12.326,237.67,237.67,237.67,237.67,237.67,12.326,237.67,237.67,237.67,12.326,12.326,0.49991,0.49991,0.5,0.49991,0.49991,0.49991,4.273,16.674,16.667,1e-05,0,0.007149,5e-05,0,1,0
10,177.38,177.41,168.91,165.77,177.38,35.402,93.512,240.64,102.05,90.409,81.939,184.13,0.49999,0.49997,0.49991,0.4999,0.49991,0.49993,6.3873,16.674,16.667,1e-05,0,0.007149,5e-05,0,2,0
