index,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24,is_on1,is_on2,is_on3,is_on4,is_on5,is_on6,is_on7,is_on8,is_on9,is_on10,is_on11,is_on12,is_on13,is_on14,is_on15,is_on16,is_on17,is_on18,is_on19,is_on20,is_on21,is_on22,is_on23,is_on24,Time,Total_val,AverageLatency1,AverageLinkFailure1,Transparency1,AverageLatency2,AverageLinkFailure2,Transparency2,OnControl1,OnControl2
1,244.91,5.4833,246.74,39.999,246.12,212.72,242.85,40.063,209.28,2.523,244.76,5.4681,246.35,8.5389,205.66,205.6,3.2462,247.3,213.24,208.01,38.703,38.718,242.9,7.0984,3.9259,241.67,38.718,244.18,36.091,42.397,211.24,6.6085,247.48,41.269,244.07,213.98,212.03,36.091,5.9367,213.18,41.15,39.201,5.8836,209.29,211.96,36.081,244.92,208.11,0.5,0.49998,0.4999,0.49998,0.49998,0.49992,0.5,0.5,0.4999,0.5,0.4999,0.49991,0.49992,0.49992,0.4999,0.49998,0.49998,0.4999,0.5,0.49998,0.49992,0.5,0.5,0.49998,78.342,0.38317,0.00257,0.56002,0.015701,0.0026908,0.56002,0.0085156,7,7
2,117.2,117.25,122.05,120.57,33.366,101.44,32.829,114.21,103.46,119.29,119.21,127.97,116.54,14.744,115.84,7.4187,232.44,216.44,237.25,31.421,22.147,244.9,218.52,16.657,243.49,5.099,132.52,105.7,23.412,21.892,131.27,128.92,7.8673,236.29,138,130.6,222.98,232.27,145.82,5.215,148.91,29.625,133.23,142.7,230.21,16.888,124.5,236.19,0.49995,0.49994,0.49991,0.49995,0.49991,0.4999,0.49995,0.49991,0.49999,0.49995,0.49991,0.49994,0.49995,0.49996,0.4999,0.49991,0.49995,0.49991,0.5,0.49996,0.49994,0.49995,0.5,0.5,106.47,0.3828,0.0026632,0.56002,0.019965,0.00266,0.56002,0.0030571,3,7
3,130.18,140.13,206.87,5.0467,180.24,109.07,213.55,96.559,115.04,92.478,154.35,92.096,140.13,186.92,110.57,109.07,186.36,31.186,75.588,119.01,177.05,149.46,126.11,182.94,165,249.42,64.246,222.79,171.54,127.16,109.53,27.209,130.99,147.01,209.48,31.992,127.97,192.43,249.42,144.59,32.234,160.54,109.53,186.92,210.28,184.71,186.92,214.35,0.49993,0.49994,0.49994,0.49997,0.49991,0.49992,0.49998,0.49995,0.49992,0.49996,0.49994,0.49999,0.49998,0.49991,0.49997,0.49995,0.49995,0.49994,0.49997,0.49993,0.49996,0.49996,0.4999,0.49993,52.975,0.37583,0.002611,0.56002,1.2516e-06,0.0026739,0.56002,0.0021593,4,7
4,232.69,189.42,142.59,119.28,236.3,199,122.33,124.59,195.04,114.84,121.02,182.87,100.11,75.66,200.74,167.5,190,55.78,60.084,203.03,139.35,38.305,223.23,57.96,97.816,60.552,146.27,169.86,176.26,85.878,135.07,225.77,86.518,160.08,190.63,82.592,28.696,150.06,108.79,145.31,121.83,168.47,132.53,139.67,148.35,113.01,196.38,190.49,0.49997,0.49995,0.49998,0.49993,0.49993,0.49994,0.49993,0.49992,0.49996,0.49995,0.49998,0.49996,0.49993,0.49996,0.49997,0.49992,0.49997,0.49992,0.49998,0.49993,0.49997,0.49994,0.49998,0.49999,84.961,0.37949,0.0025807,0.56002,0.011631,0.0026722,0.56002,0.0015356,7,7
5,210.42,39.58,244.87,5.128,244.87,39.58,244.87,244.87,39.58,210.42,5.128,39.58,5.128,210.42,39.58,244.87,210.42,210.42,244.87,39.58,210.42,244.87,210.42,5.128,210.42,39.58,5.128,39.58,210.42,5.128,5.128,39.58,5.128,5.128,39.58,39.58,5.128,210.42,210.42,244.87,210.42,210.42,210.42,210.42,5.128,244.87,210.42,39.58,0.49999,0.5,0.49999,0.49992,0.4999,0.49992,0.4999,0.49992,0.5,0.4999,0.4999,0.49999,0.4999,0.5,0.4999,0.49992,0.4999,0.4999,0.4999,0.5,0.49999,0.49992,0.5,0.49992,37.646,0.37803,0.0026129,0.56002,0.00072409,0.0026466,0.56002,0.0080619,5,4
