index,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,is_on1,is_on2,is_on3,is_on4,is_on5,is_on6,is_on7,is_on8,is_on9,is_on10,Time,Total_val,AverageLatency1,AverageLinkFailure1,Transparency1,AverageLatency2,AverageLinkFailure2,Transparency2,OnControl1,OnControl2
1,190.19,132.39,0.30595,188.73,249.69,62.97,249.69,190.19,249.69,117.61,58.11,246.53,59.807,191.89,249.69,190.19,120.77,249.69,62.97,129.23,0.49998,0.49993,0.49998,0.49998,0.49995,0.49998,0.49997,0.49992,0.49993,0.5,7.0937,16.681,16.667,0.005,0,0.0068907,0.002,0.00013703,4,3
2,202.57,219.88,241.24,8.7586,18.291,26.075,18.291,18.291,8.7586,210.35,214.39,35.607,219.88,231.71,47.433,39.649,219.88,18.291,202.57,223.93,0.49992,0.49992,0.49999,0.49993,0.49998,0.5,0.49991,0.49999,0.49999,0.49999,6.3241,16.683,16.667,0.007,0,0.0068856,0.002,6.4137e-05,2,4
3,24.694,225.31,225.31,24.694,24.694,225.31,225.31,225.31,24.694,24.694,225.31,225.31,225.31,225.31,24.694,225.31,24.694,24.694,24.694,225.31,0.5,0.49992,0.5,0.5,0.5,0.49992,0.49992,0.49992,0.49992,0.5,5.3204,16.683,16.667,0.007,0,0.0068837,0.002,3.6232e-05,4,1
4,187.66,114.34,183.57,166.03,199.16,150.5,181.34,46.828,73.868,162.74,187.42,99.504,142.42,236.4,244.78,93.561,74.067,110.14,61.361,119.67,0.49994,0.49995,0.49999,0.49994,0.49994,0.49993,0.5,0.49992,0.49996,0.49996,14.766,16.681,16.667,0.005,0,0.0069002,0.002,0.00027513,2,3
5,3.2919,225.62,41.641,100.29,67.996,20.122,163.3,187.75,219.39,219.32,208.79,174.05,190.86,205.19,54.944,68.039,55.089,205.7,59.36,181.89,0.49991,0.5,0.49992,0.49997,0.49998,0.49992,0.49992,0.49992,0.4999,0.49991,20.944,16.681,16.667,0.005,0,0.0068812,0.002,0,3,0
6,3.0572,216.07,2.9189,2.8723,217.38,1.9765,1.5515,0.97508,1.6536,249.09,246.49,33.694,2.3389,1.9655,216.95,248.32,214.52,249.44,247.36,33.802,0.49999,0.49999,0.49999,0.49999,0.49991,0.5,0.49999,0.49991,0.49999,0.5,18.056,16.678,16.667,0.001,0,0.0068314,0.003,0.00072358,4,4
7,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,7.3001,16.683,16.667,0.007,0,0.0068904,0.002,0.00013298,5,5
8,86.303,226.87,136.97,86.303,226.87,159.5,86.303,222.68,200.15,249.4,136.97,49.854,186.23,222.68,86.303,23.126,186.23,136.97,136.97,200.15,0.49995,0.4999,0.49999,0.49999,0.49999,0.49993,0.49999,0.49996,0.49991,0.49991,8.9261,16.681,16.667,0.005,0,0.0068441,0.002,0.00053933,3,2
9,100.77,23.343,172.32,44.381,166.95,172.34,186.92,42.449,60.561,122.89,79.74,121.3,100.29,170.35,139.36,246.56,121.34,169.73,41.699,19.463,0.49992,0.49993,0.5,0.49992,0.49991,0.49999,0.49995,0.49992,0.49998,0.49991,13.459,16.681,16.667,0.005,0,0.0069039,0.002,0.00032935,1,2
10,148.01,148.01,198.98,124.29,128.57,249.28,169.45,127.82,127.32,231.7,38.491,80.973,169.45,245.32,132.1,229.09,21.332,80.549,222.7,21.412,0.49996,0.49999,0.4999,0.49996,0.49996,0.49994,0.49994,0.49991,0.49994,0.49999,9.9867,16.681,16.667,0.005,0,0.0068984,0.002,0.00025008,4,1
