index,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,is_on1,is_on2,is_on3,is_on4,is_on5,is_on6,is_on7,is_on8,is_on9,is_on10,Time,Total_val,AverageLatency1,AverageLinkFailure1,Transparency1,AverageLatency2,AverageLinkFailure2,Transparency2,OnControl1,OnControl2
1,184.87,47.652,92.208,190.4,47.721,65.812,25.303,40.243,157.4,21.963,86.388,188.89,175.4,46.3,49.159,93.083,193.65,68.865,83.135,173.57,0.49997,0.49992,0.49998,0.5,0.5,0.49993,0.49992,0.49993,0.4999,0.49993,7.6573,16.68,16.667,0.0012,0,0.0072663,0.005,0,4,0
2,51.502,30.149,218.42,66.433,38.981,82.681,225.84,183.57,239.35,233.25,183.68,225.95,182.25,192.4,224.52,197.07,198.5,58.917,182.25,24.16,0.49999,0.49997,0.49992,0.49999,0.49999,0.49992,0.49993,0.49993,0.49991,0.49991,6.3493,16.68,16.667,0.001,0,0.0072663,0.005,0,4,0
3,94.19,93.571,156.43,93.571,156.43,94.19,93.571,93.571,93.571,156.43,155.81,156.43,94.19,155.81,93.571,156.43,93.571,94.19,94.19,93.571,0.5,0.5,0.5,0.49998,0.5,0.49997,0.49997,0.5,0.5,0.49998,4.355,16.68,16.667,0.001,0,0.0072678,0.005,2.0736e-05,5,5
4,240.37,240.37,245.14,240.37,240.37,4.8626,9.6255,240.37,245.14,9.6255,245.14,9.6255,240.37,4.8626,4.8626,9.6255,245.14,240.37,4.8626,240.37,0.4999,0.5,0.49991,0.4999,0.4999,0.49991,0.49991,0.49991,0.49991,0.4999,4.0147,16.68,16.667,0.001,0,0.0072663,0.005,0,1,0
5,213.33,35.614,18.23,214.43,229.64,231.37,36.678,249.37,36.092,229.83,20.315,230.78,213.47,214.41,213.94,1.1397,36.098,231.77,19.584,229.79,0.49991,0.49999,0.49999,0.49999,0.49991,0.49991,0.4999,0.49999,0.49991,0.49999,9.381,16.68,16.667,0.001,0,0.0072943,0.005,0.00038542,3,2
6,2.2518,153.56,96.444,153.56,247.75,2.2518,96.444,96.444,153.56,153.56,2.2518,96.444,2.2518,247.75,247.75,247.75,247.75,153.56,96.444,247.75,0.49994,0.49994,0.5,0.49996,0.49996,0.49994,0.4999,0.4999,0.4999,0.4999,4.495,16.68,16.667,0.001,0,0.0072663,0.005,0,3,0
7,29.202,29.202,29.202,220.8,220.8,220.8,220.8,220.8,29.202,29.202,29.202,220.8,29.202,220.8,29.202,220.8,220.8,220.8,29.202,29.202,0.49992,0.49992,0.5,0.49992,0.49992,0.49992,0.49992,0.49992,0.49992,0.49992,3.5076,16.68,16.667,0.001,0,0.0072663,0.005,0,1,0
8,8.1299,171.52,79.812,8.1299,170.19,176.93,94.424,172.71,249.81,75.592,150.16,171.52,2.7157,155.58,85.226,158.1,168.99,172.71,168.99,0.18933,0.49997,0.49996,0.49997,0.49997,0.5,0.49997,0.49997,0.49993,0.49994,0.49993,5.1962,16.68,16.667,0.001,0,0.0072546,0.005,0.0001601,5,2
9,196.94,6.0891,241.26,245.49,131.58,7.1359,200.22,202.6,91.039,133.95,116.59,132.52,197.04,199.94,234.97,84.179,53.263,13.881,115.23,129.64,0.49993,0.49999,0.49995,0.5,0.49995,0.49992,0.49995,0.49994,0.5,0.49995,6.2774,16.68,16.667,0.001,0,0.0072951,0.005,0.0003969,2,2
10,8.0688,179.19,25.757,71.161,8.4121,225.01,78.714,25.626,71.235,249.77,89.17,224.99,7.9794,178.84,224.51,88.366,88.653,171.51,223.78,153.68,0.49997,0.49996,0.49993,0.49999,0.49996,0.4999,0.49993,0.49994,0.4999,0.4999,8.9831,16.68,16.667,0.0012,0,0.0072663,0.005,0,4,0
