index,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,is_on1,is_on2,is_on3,is_on4,is_on5,is_on6,is_on7,is_on8,is_on9,is_on10,Time,Total_val,AverageLatency1,AverageLinkFailure1,Transparency1,AverageLatency2,AverageLinkFailure2,Transparency2,OnControl1,OnControl2
1,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,27.957,2.1772,0.23323,0.70636,0.061891,0.2246,0.70636,0.24474,5,5
2,2.4015,21.491,53.011,56.582,247.6,177.9,247.6,72.542,196.55,53.453,181.47,68.53,228.95,193.42,5.9721,248.04,21.049,248.04,244.03,244.47,0.4999,0.5,0.49999,0.49992,0.5,0.5,0.49993,0.49992,0.49991,0.49991,40.901,1.9923,0.23034,0.70636,0.062996,0.22067,0.70636,0.065579,3,1
3,56.539,55.242,218.93,193.46,194.76,55.242,193.46,55.242,55.242,29.777,29.777,56.539,193.46,218.93,218.93,29.777,55.242,194.76,55.242,56.539,0.5,0.49999,0.49993,0.5,0.49993,0.49999,0.49999,0.49999,0.5,0.49993,39.397,2.1105,0.23119,0.70636,0.02642,0.22397,0.70636,0.21622,3,4
4,99.079,150.92,150.92,99.079,150.92,150.92,99.079,99.079,150.92,99.079,150.92,150.92,150.92,150.92,99.079,99.079,150.92,99.079,150.92,150.92,0.49998,0.5,0.5,0.5,0.49998,0.5,0.5,0.5,0.5,0.49998,30.5,1.9445,0.23323,0.70636,0.061891,0.21884,0.70636,0.017755,5,5
5,146.34,103.66,146.34,146.34,146.34,146.34,103.66,103.66,146.34,103.66,103.66,103.66,146.34,146.34,146.34,146.34,146.34,146.34,103.66,146.34,0.5,0.49998,0.49998,0.49998,0.5,0.49998,0.5,0.49998,0.49998,0.49998,34.641,1.9408,0.23064,0.70636,0.049976,0.21984,0.70636,0.027608,5,5
6,0.36441,241.43,25.059,241.43,241.43,0.36441,249.64,16.853,249.64,249.64,8.5708,8.5708,224.94,0.36441,249.64,25.059,16.853,8.5708,8.5708,16.853,0.49991,0.49999,0.5,0.5,0.4999,0.4999,0.4999,0.4999,0.49991,0.49991,36.307,1.8951,0.23106,0.70636,0.032121,0.21923,0.70636,0,3,0
7,249.53,1.5013,4.5046,245.5,245.5,1.5013,1.5013,4.5046,1.5013,248.5,249.53,248.5,249.53,3.4747,245.5,3.4747,3.4747,246.53,246.53,0.47134,0.5,0.5,0.4999,0.4999,0.4999,0.4999,0.5,0.4999,0.4999,0.4999,36.11,1.9484,0.23244,0.70636,0.027461,0.22045,0.70636,0.055318,2,1
8,208.71,111.68,59.555,41.294,22.173,227.83,116.77,36.204,22.173,190.45,22.173,192.21,154.82,222.74,138.32,244.33,41.294,227.83,81.146,208.71,0.49992,0.49992,0.49993,0.49991,0.49992,0.49998,0.4999,0.49996,0.49992,0.49995,42.944,2.0375,0.2318,0.70636,0,0.21534,0.70636,0.17759,0,2
9,225.58,24.422,11.976,238.02,225.58,11.976,225.58,24.422,24.422,238.02,225.58,11.976,238.02,24.422,225.58,11.976,238.02,11.976,225.58,225.58,0.5,0.49991,0.5,0.5,0.49991,0.49991,0.49991,0.49991,0.5,0.49991,34.529,2.0135,0.23367,0.70636,0.080821,0.22067,0.70636,0.065579,3,1
10,191.74,58.258,191.74,58.258,191.74,58.258,58.258,58.258,191.74,58.258,58.258,58.258,191.74,191.74,58.258,191.74,191.74,191.74,58.258,58.258,0.49995,0.49995,0.49995,0.49995,0.5,0.5,0.5,0.5,0.49995,0.49995,29.224,2.0528,0.23219,0.70636,0.016804,0.22292,0.70636,0.16817,1,3
